models,r2_score,mean_abs_error,execution_time
KNN:1/uniform,0.5251062467915831,145006.37179487178,0.0010035037994384766
KNN:1/distance,0.5251062467915831,145006.37179487178,0.0010023117065429688
KNN:2/uniform,0.6543228057432564,125133.57136752136,0.0010030269622802734
KNN:2/distance,0.6193615365674576,130605.05458825572,0.0010027885437011719
KNN:3/uniform,0.6833035329882892,120228.18603988603,0.0010027885437011719
KNN:3/distance,0.6442045741747447,127150.5102418154,0.0015041828155517578
KNN:4/uniform,0.7016421218306172,116914.18141025641,0.0010030269622802734
KNN:4/distance,0.6557898006496079,124999.03000341149,0.0
KNN:5/uniform,0.7247017288277824,112472.19213675214,0.0
KNN:5/distance,0.6629845534672026,123887.05887928713,0.0010023117065429688
KNN:6/uniform,0.7322768599791084,111670.35128205128,0.0010077953338623047
KNN:6/distance,0.6688937151615719,122674.10270728805,0.0010030269622802734
KNN:7/uniform,0.7374465367007078,109763.72588522588,0.0
KNN:7/distance,0.6740984821505491,121728.34349969117,0.0
KNN:8/uniform,0.7449790160524916,107894.95726495727,0.0015377998352050781
KNN:8/distance,0.6775360382749668,121012.5962417305,0.0
KNN:9/uniform,0.7474296386075026,107556.7245014245,0.0
KNN:9/distance,0.6796965542241898,120663.34339937032,0.0
KNN:10/uniform,0.752532695986483,107003.61384615385,0.0
KNN:10/distance,0.6815627413463116,120300.31949159075,0.0010027885437011719
KNN:11/uniform,0.7550942080122229,106450.04716394717,0.0010116100311279297
KNN:11/distance,0.6832729324922878,119844.98527406526,0.0
KNN:12/uniform,0.7551535291732558,106526.54152421652,0.0
KNN:12/distance,0.6849479829900267,119543.46168884977,0.0
KNN:13/uniform,0.7586731390143441,105684.21709401709,0.0
KNN:13/distance,0.6856692861727302,119434.83713300768,0.0
KNN:14/uniform,0.7584865087815365,106052.71715506715,0.0
KNN:14/distance,0.6862611237936442,119341.65265552465,0.0
KNN:15/uniform,0.7596124721911545,105961.10854700855,0.0
KNN:15/distance,0.6873199405202953,119130.46066751612,0.0
KNN:16/uniform,0.7580651147578505,106135.59759615385,0.0010027885437011719
KNN:16/distance,0.687401832537916,119148.27614322804,0.0010023117065429688
KNN:17/uniform,0.7604006929019332,105657.92322775265,0.0
KNN:17/distance,0.6879691591373955,119039.21788706112,0.015627384185791016
KNN:18/uniform,0.7599411495861235,105814.90256410257,0.0
KNN:18/distance,0.6884769036155465,118949.98056097892,0.015627384185791016
KNN:19/uniform,0.7614026275738053,105724.1971659919,0.0
KNN:19/distance,0.6894191249630014,118802.01334775373,0.0
KNN:20/uniform,0.760330818646121,106201.10239316238,0.0010035037994384766
KNN:20/distance,0.6903285206197254,118668.52088693752,0.0020046234130859375
KNN:21/uniform,0.7609560637543398,106428.80134310135,0.0010025501251220703
KNN:21/distance,0.6910687597777785,118466.51384767544,0.002005338668823242
KNN:22/uniform,0.761695962762562,106184.4245143745,0.0010027885437011719
KNN:22/distance,0.6913865803640871,118410.95925021236,0.0010020732879638672
KNN:23/uniform,0.7627595224401892,105990.03563730956,0.0010023117065429688
KNN:23/distance,0.6918415080012339,118313.04382041996,0.0010025501251220703
KNN:24/uniform,0.7639198787599947,105589.770014245,0.0010027885437011719
KNN:24/distance,0.6921795771224192,118278.43163654137,0.0010027885437011719
KNN:25/uniform,0.7639546771604556,105513.91107692309,0.0010025501251220703
KNN:25/distance,0.692376541526697,118251.92060489932,0.0
KNN:26/uniform,0.763840110537589,105781.97873109796,0.0
KNN:26/distance,0.6927444596792993,118176.47634630768,0.0
KNN:27/uniform,0.7644237149719805,105638.28502690725,0.0
KNN:27/distance,0.6929970545001227,118163.17903381606,0.0
KNN:28/uniform,0.7650794945942259,105426.977991453,0.015627384185791016
KNN:28/distance,0.6932171710259014,118116.92999828755,0.002004861831665039
KNN:29/uniform,0.765267459519874,105376.53551429413,0.0010030269622802734
KNN:29/distance,0.6934512643347974,118053.37065544647,0.002509593963623047
